link,text,user,quotes,retweets,comments
['https://twitter.com/DemonSlayerSc/status/1812103376353530184#m'],['😭'],['Demon Slayer'],[148],[7602],[73]
['https://twitter.com/DemonSlayerSc/status/1812366421915037725#m'],['Gyutaro and Daki'],['Demon Slayer'],[6],[120],[7]
['https://twitter.com/DemonSlayerSc/status/1812296950013739317#m'],['Credit : @yq1m_'],['Demon Slayer'],[0],[0],[0]
['https://twitter.com/DemonSlayerSc/status/1812296946616279487#m'],['Uzui Tengen'],['Demon Slayer'],[50],[770],[15]
['https://twitter.com/DemonSlayerSc/status/1812265979621044497#m'],['I deleted my last tweet because I realized it may have been a clumsy joke 😕'],['Demon Slayer'],[0],[1],[5]
